ID;Primary Link;Stage;Checklist Question;Secondary Checklist Question;Context;Description;Follow-up Advice;Category;Weighting Score;Type;Priority;T;S;Q;F;V;Weight;Score
1;0;Global;Are our marketing materials clear, transparent, and focused on key features without overwhelming you with too many options?;;"Simplify marketing materials and limit options to key features:
Ensure all marketing and promotional materials clearly state key features, benefits, pricing, and any limitations or exclusions. Limit the number of options presented to prevent choice paralysis, focusing on the most relevant features and benefits of each product or service without overwhelming details.";Are we highlighting key features, benefits, pricing, and exclusions, and limiting the number of options presented. Use customer interviews, usabulity testing (moderated or unmoderated), A/B testing to refine clarity and simplicity. Aim for a 90% comprehension score from a representive sample of customers.;Simplify marketing materials and limit options to key features;Marketing clarity and simplicity;12.5;Global;H;1;1;0;0;0;Y;12,5
2;0;Global;Do we disclose all costs upfront and provide easy-to-understand comparisons?;;"Disclose all costs upfront and provide transparent comparisons:
Provide a clear, detailed breakdown of all costs, including fees, charges, cancellation penalties, and potential fees (e.g., international usage) across all touchpoints. Ensure customers are fully informed of financial commitments upfront and offer transparent comparisons of plans and services during the sign-up process.";Implement a detailed cost breakdown for all plans and services on the website, app, and in-store materials. Test with customer focus groups to ensure the clarity of cost explanations - aim for 90% comprehension.;Disclose all costs upfront and provide transparent comparisons;Financial transparency;11.5;Global;H;1;0;0;0;0;Y;11,5
3;0;Global;Do we offer customers clear, visual step-by-step guides to support their journey?;;"Empower customers with visual step-by-step guides:
Offer clear, step-by-step guides for essential technical and financial processes, designed in plain language and enriched with visuals for easy understanding. Include QR codes for instant access to further details, empowering customers to move forward confidently and at their own pace.";Design a visual onboarding guide that includes estimated times for each step and real-time status updates. Implement an automated system to send notifications to customers for each milestone or delay. Ensure 95% of customers receive onboarding updates within 10 minutes of milestone completion or delay;Empower customers with visual step-by-step guides;Clear onboarding and activation process;12.0;Global;H;1;0;1;0;0;Y;12,5
4;0;Global;Are we proactively and transparently communicating issues and resolutions across all channels?;;"Communicate proactively and transparently about issues and resolution across all channels: 
Ensure all channels (e.g., phone, chat, email, in-app support) are transparent about estimated response times, issue resolution processes, and service status. Proactively inform customers about outages, scheduled maintenance, and known issues with clear timelines for resolution, and communicate empathetically to reinforce their value during disruptions. Additionally, clearly notify customers whenever additional information or a decision/consent is needed to proceed, ensuring they are fully aware and involved at every step.";Proactively notify customers of outages or scheduled maintenance via email, SMS, or app notifications -aim for 30 - 60 Minutes to inform customers. Review and audit message with customers to ensure 90% comprehesnion of messages.;Communicate proactively and transparently about issues and resolution across all channels;Transparent support and service status;11.0;Global;H;1;0;0;0;0;Y;11,5
5;0;Global;Do we notify customers about billing in advance and provide spending control options?;;"Proactively notify customers about billing and offer spending controls:
Proactively notify customers when a new bill is available, highlight outstanding payments, ongoing charges, additional fees (e.g., roaming, repair, early termination), and any changes in payment status. Equip customers with tools to manage and monitor their spending, including real-time cost updates, cost limit notifications, and payment status insights, ensuring they stay informed and in control.";Ensure clear explanations of any changes to terms, costs, or limitations in the offer presentation. Test comprehension with customers aim for 90% comprehension (Customer Focus Groups, Usability Testing, A/B Testing).;Proactively notify customers about billing and offer spending controls;Clear and personalized upgrades and cross-sells;11.0;Global;H;1;0;0;0;0;Y;11,5
6;0;Global;Can customers seamlessly perform all account actions across multiple channels?;;"Ensure seamless multi-channel access to all account actions:
Ensure that customers can easily access all actions, products, and entities connected to their account across all channels, with consistent functionality.";Audit all customer touchpoints (web, app, in-store) to ensure consistency of functionality and ease of accessing all account-related actions. Use customer feedback to identify any gaps or inconsistencies. Aim for a 90% success score.;Ensure seamless multi-channel access to all account actions;Consistent cross-channel access;11.0;Global;H;0;1;0;0;0;Y;11,5
7;0;Global;Do we promptly confirm key customer actions with accurate communication across all channels?;;"Ensure prompt, accurate communication, confirming key actions immediately across all channels:
Ensure prompt, accurate, and consistent communication across all channels. Respond to inquiries swiftly during business hours, provide real-time notifications throughout the customer journey, and confirm key actions (e.g., plan selection, payment) immediately. Maintain clear, standardised naming conventions that customers can easily understand, and implement a tiered system to prioritise support requests based on urgency, demonstrating appreciation for customer patience and loyalty.";Set up automated communication triggers for real-time notifications during key customer interactions. Implement a tiered support system that prioritizes urgent requests and sets clear response times. Achieve a 95% rate of responses to customer inquiries within 30 minutes during business hours.;Ensure prompt, accurate communication, confirming key actions immediately across all channels;Timely and accurate communication;11.0;Global;H;0;0;1;0;0;Y;11,5
8;0;Global;Is our cancellation, migration processes simple, transparent, and handled with empathy and efficiency?;;"Simplify cancellation with transparent steps and minimal obstacles, showing empathy throughout the process: 
Ensure the cancellation process is simple, straightforward, and transparent. Provide clear information about contract duration, fees, penalties, and necessary steps, minimizing steps and avoiding unnecessary channel changes or wait times for a smooth experience. Show empathy and appreciation to the customer during the process, reinforcing their value even if they choose to leave.";Streamline the cancellation process across all channels to ensure it can be completed in minimal steps. Provide clear information on fees, penalties, and steps upfront, and offer a consistent experience across all channels. Test the information (and the process) with customers and aim for a 90% comprehension score.;Simplify cancellation with transparent steps and minimal obstacles, showing empathy throughout the process;Simple and transparent cancellation process;13.5;Global;H;1;1;1;0;0;Y;13,5
9;1;I explore;;Is all pricing information, including the terms and conditions of any promotions and contract terms for different products and services, clearly displayed without hidden terms or conditions, and is the overall cost calculation explained transparently?;;Pricing and Terms Clarity: Create a pricing information solution that includes a detailed breakdown of costs, terms, and conditions, and is reviewed for clarity by a customer focus group. Benchmark: Achieve a 90% comprehension rate in customer testing, where customers can accurately describe the pricing structure and terms without assistance.;Regular audits of website and promotional materials, customer feedback surveys on clarity, analysis of customer complaints related to pricing.;Pricing and Terms Clarity;12.5;Refined - V1;H;1;1;0;0;0;Y;12,5
10;1;I explore;;Are customer inquiries and comments on social media and other channels responded to promptly and honestly, and are the support team equipped to provide immediate assistance?;;Response to Customer Inquiries: Implement a customer response protocol that includes guidelines for response times and escalation procedures. Train agents to respond to inquiries within 15 minutes during business hours. Set Benchmarks for each channel.;Response time metrics, quality assurance checks on agent responses, customer satisfaction scores from post-interaction surveys.;Response to Customer Inquiries;13.5;Refined - V1;H;1;0;1;0;1;Y;13,5
